area,year_div,price_per_sqm
Алатауский,1990_2000,537248.5113465134
Алатауский,2000_2010,575455.8198475661
Алатауский,2010_,551040.8220956894
Алатауский,_1990,641945.9763534848
Алмалинский,1990_2000,650770.5059930644
Алмалинский,2000_2010,788572.9775189549
Алмалинский,2010_,701377.7294612818
Алмалинский,_1990,724552.9429279643
Ауэзовский,1990_2000,615501.7513464494
Ауэзовский,2000_2010,685374.4377589665
Ауэзовский,2010_,658663.1108997872
Ауэзовский,_1990,650373.6307681773
Бостандыкский,1990_2000,652059.0312923312
Бостандыкский,2000_2010,814409.6528076549
Бостандыкский,2010_,828620.1701113593
Бостандыкский,_1990,702799.5874123005
Жетысуский,1990_2000,566165.9233975428
Жетысуский,2000_2010,563319.0383326156
Жетысуский,2010_,552382.8642027839
Жетысуский,_1990,598662.3096052223
Медеуский,1990_2000,766210.6726045553
Медеуский,2000_2010,821658.0914933898
Медеуский,2010_,744015.5300385293
Медеуский,_1990,734322.33092608
Наурызбайский,1990_2000,536337.7591319373
Наурызбайский,2000_2010,741788.5095635629
Наурызбайский,2010_,549581.5631273154
Наурызбайский,_1990,648198.9975599074
Район9,1990_2000,681290.8591342675
Район9,2000_2010,741409.0842124211
Район9,2010_,616051.5620809181
Район9,_1990,659557.915325423
Турксибский,1990_2000,532107.505881816
Турксибский,2000_2010,583323.7936660331
Турксибский,2010_,548784.8198519825
Турксибский,_1990,562360.0144885344
